customer_id,signup_date,region,industry,company_size,segment,acquisition_channel,plan,price_usd_month
C0001,2023-09-11,North America,Healthcare,11-50,Mid-Market,Outbound,Basic,50
C0002,2024-08-09,LATAM,Retail,1-10,SMB,Outbound,Pro,200
C0003,2024-02-26,Europe,Finance,1-10,SMB,Organic,Basic,50
C0004,2023-09-15,Europe,Education,1-10,SMB,Organic,Basic,50
C0005,2023-08-11,APAC,Retail,201-1000,Mid-Market,Referral,Basic,50
C0006,2023-06-21,Europe,Manufacturing,51-200,Mid-Market,Paid,Pro,200
C0007,2025-02-04,Europe,Retail,1-10,Enterprise,Organic,Enterprise,1000
C0008,2023-09-30,APAC,Retail,1-10,SMB,Referral,Basic,50
C0009,2024-09-09,North America,Education,51-200,SMB,Paid,Basic,50
C0010,2024-01-01,North America,Manufacturing,1-10,SMB,Outbound,Basic,50
C0011,2024-04-26,Europe,Healthcare,11-50,SMB,Organic,Pro,200
C0012,2024-09-01,North America,Healthcare,1000+,SMB,Paid,Basic,50
C0013,2023-08-27,Europe,Retail,11-50,SMB,Paid,Basic,50
C0014,2024-06-07,Europe,Manufacturing,51-200,SMB,Events,Basic,50
C0015,2023-09-08,APAC,Manufacturing,1000+,Mid-Market,Paid,Pro,200
C0016,2025-03-25,APAC,Education,11-50,SMB,Referral,Basic,50
C0017,2023-10-09,LATAM,Finance,1-10,SMB,Organic,Basic,50
C0018,2025-03-23,APAC,Healthcare,11-50,Mid-Market,Events,Pro,200
C0019,2024-04-04,APAC,Education,201-1000,Mid-Market,Paid,Pro,200
C0020,2024-05-09,North America,SaaS,201-1000,SMB,Organic,Basic,50
C0021,2024-10-04,Europe,Healthcare,51-200,Mid-Market,Referral,Pro,200
C0022,2024-07-18,Europe,Education,1-10,Mid-Market,Organic,Basic,50
C0023,2024-06-20,North America,Healthcare,51-200,SMB,Organic,Basic,50
C0024,2023-12-09,Europe,Finance,201-1000,SMB,Events,Basic,50
C0025,2024-03-03,Europe,SaaS,51-200,Enterprise,Paid,Enterprise,1000
C0026,2023-11-08,LATAM,Finance,201-1000,SMB,Referral,Basic,50
C0027,2024-09-02,MEA,SaaS,201-1000,SMB,Organic,Pro,200
C0028,2024-04-09,Europe,Retail,51-200,SMB,Events,Pro,200
C0029,2023-06-22,North America,Education,51-200,Mid-Market,Organic,Pro,200
C0030,2024-02-08,North America,SaaS,11-50,Mid-Market,Paid,Pro,200
C0031,2024-12-12,MEA,Finance,1-10,Mid-Market,Outbound,Pro,200
C0032,2024-09-17,LATAM,Healthcare,51-200,Mid-Market,Events,Basic,50
C0033,2023-07-29,North America,SaaS,11-50,SMB,Paid,Basic,50
C0034,2024-10-23,APAC,Education,201-1000,Enterprise,Organic,Enterprise,1000
C0035,2025-04-12,North America,SaaS,1000+,SMB,Events,Basic,50
C0036,2024-09-18,North America,Manufacturing,51-200,Mid-Market,Paid,Pro,200
C0037,2025-04-30,North America,Healthcare,1-10,Mid-Market,Referral,Pro,200
C0038,2023-12-07,North America,Education,11-50,Mid-Market,Referral,Basic,50
C0039,2025-04-17,MEA,Education,1-10,Enterprise,Organic,Enterprise,1000
C0040,2024-12-14,APAC,Retail,51-200,Mid-Market,Organic,Pro,200
C0041,2024-12-18,Europe,Finance,51-200,Mid-Market,Referral,Pro,200
C0042,2024-01-30,APAC,Retail,201-1000,SMB,Organic,Basic,50
C0043,2024-10-17,LATAM,Education,11-50,SMB,Organic,Basic,50
C0044,2023-10-09,MEA,Healthcare,201-1000,SMB,Outbound,Pro,200
C0045,2024-09-27,North America,SaaS,201-1000,SMB,Paid,Pro,200
C0046,2025-03-08,Europe,SaaS,11-50,SMB,Referral,Pro,200
C0047,2023-06-21,North America,Healthcare,201-1000,SMB,Paid,Basic,50
C0048,2023-11-14,North America,Education,11-50,SMB,Paid,Basic,50
C0049,2024-02-29,North America,SaaS,11-50,Mid-Market,Organic,Pro,200
C0050,2024-06-22,APAC,SaaS,51-200,SMB,Organic,Basic,50
C0051,2025-01-21,Europe,SaaS,11-50,SMB,Organic,Pro,200
C0052,2024-04-11,North America,Finance,51-200,SMB,Paid,Pro,200
C0053,2023-06-14,North America,Finance,51-200,SMB,Events,Pro,200
C0054,2024-01-28,Europe,Manufacturing,51-200,Enterprise,Paid,Enterprise,1000
C0055,2024-05-11,North America,Retail,11-50,Mid-Market,Paid,Basic,50
C0056,2024-12-16,Europe,Healthcare,11-50,Mid-Market,Paid,Pro,200
C0057,2024-05-05,North America,Healthcare,51-200,SMB,Organic,Basic,50
C0058,2023-08-31,North America,Healthcare,11-50,Mid-Market,Paid,Pro,200
C0059,2024-06-01,Europe,Manufacturing,11-50,SMB,Organic,Basic,50
C0060,2024-08-28,APAC,Finance,1-10,SMB,Organic,Pro,200
C0061,2024-08-01,North America,Education,51-200,Enterprise,Organic,Enterprise,1000
C0062,2024-10-21,North America,Education,1-10,Mid-Market,Paid,Basic,50
C0063,2023-07-05,North America,Manufacturing,51-200,Mid-Market,Referral,Pro,200
C0064,2023-12-23,MEA,Education,51-200,Mid-Market,Organic,Pro,200
C0065,2023-08-20,Europe,Healthcare,11-50,Mid-Market,Organic,Pro,200
C0066,2024-12-13,Europe,Retail,11-50,Mid-Market,Referral,Basic,50
C0067,2024-06-22,LATAM,SaaS,1000+,SMB,Organic,Basic,50
C0068,2023-06-02,North America,Finance,201-1000,SMB,Events,Basic,50
C0069,2024-06-24,LATAM,Finance,201-1000,SMB,Paid,Pro,200
C0070,2024-12-17,Europe,Manufacturing,201-1000,SMB,Paid,Basic,50
C0071,2023-09-14,North America,Finance,1-10,SMB,Paid,Basic,50
C0072,2024-09-19,Europe,Healthcare,1-10,Enterprise,Organic,Enterprise,1000
C0073,2024-07-06,APAC,Education,11-50,Enterprise,Referral,Enterprise,1000
C0074,2024-12-07,Europe,Healthcare,11-50,SMB,Paid,Basic,50
C0075,2023-11-09,MEA,Manufacturing,11-50,Mid-Market,Events,Pro,200
C0076,2023-12-19,Europe,Healthcare,11-50,SMB,Organic,Basic,50
C0077,2024-02-25,APAC,Education,11-50,Enterprise,Paid,Enterprise,1000
C0078,2024-02-26,Europe,Retail,51-200,SMB,Referral,Pro,200
C0079,2024-08-29,LATAM,Manufacturing,51-200,SMB,Organic,Basic,50
C0080,2024-09-04,Europe,Retail,11-50,SMB,Paid,Basic,50
C0081,2024-02-07,North America,SaaS,201-1000,Mid-Market,Referral,Pro,200
C0082,2024-03-22,North America,Retail,11-50,SMB,Events,Basic,50
C0083,2024-05-03,North America,SaaS,201-1000,Mid-Market,Organic,Pro,200
C0084,2023-07-23,North America,SaaS,1-10,Enterprise,Events,Enterprise,1000
C0085,2024-01-03,North America,Retail,1000+,SMB,Outbound,Pro,200
C0086,2023-12-05,APAC,Manufacturing,51-200,SMB,Events,Pro,200
C0087,2024-06-14,Europe,Education,11-50,Enterprise,Organic,Enterprise,1000
C0088,2024-10-05,APAC,Healthcare,1-10,SMB,Referral,Pro,200
C0089,2023-07-11,LATAM,Healthcare,11-50,SMB,Organic,Basic,50
C0090,2023-11-04,Europe,Education,1-10,SMB,Outbound,Basic,50
C0091,2023-06-15,APAC,SaaS,1-10,SMB,Paid,Basic,50
C0092,2023-08-04,APAC,SaaS,51-200,Mid-Market,Organic,Basic,50
C0093,2024-11-02,Europe,Manufacturing,11-50,Mid-Market,Referral,Pro,200
C0094,2024-05-09,North America,Finance,51-200,SMB,Organic,Pro,200
C0095,2023-10-07,North America,Retail,201-1000,SMB,Outbound,Pro,200
C0096,2025-03-09,North America,SaaS,11-50,SMB,Outbound,Basic,50
C0097,2024-09-14,North America,Healthcare,51-200,Enterprise,Referral,Enterprise,1000
C0098,2023-08-02,North America,Manufacturing,1-10,SMB,Organic,Basic,50
C0099,2023-10-17,LATAM,Retail,51-200,Enterprise,Referral,Enterprise,1000
C0100,2024-10-11,APAC,Manufacturing,11-50,Enterprise,Organic,Enterprise,1000
C0101,2025-01-13,North America,Retail,1000+,SMB,Organic,Pro,200
C0102,2024-06-26,North America,Retail,201-1000,Mid-Market,Events,Basic,50
C0103,2025-04-05,North America,Education,11-50,Mid-Market,Organic,Pro,200
C0104,2024-07-23,Europe,SaaS,1-10,SMB,Paid,Pro,200
C0105,2024-03-15,Europe,Manufacturing,201-1000,SMB,Outbound,Basic,50
C0106,2024-06-13,LATAM,Manufacturing,51-200,Mid-Market,Organic,Pro,200
C0107,2024-10-02,North America,Education,1-10,SMB,Organic,Pro,200
C0108,2024-01-17,LATAM,Healthcare,11-50,SMB,Outbound,Basic,50
C0109,2023-07-11,MEA,Healthcare,51-200,SMB,Organic,Pro,200
C0110,2023-06-28,North America,SaaS,1-10,Enterprise,Referral,Enterprise,1000
C0111,2023-10-13,APAC,SaaS,201-1000,Enterprise,Outbound,Enterprise,1000
C0112,2023-12-18,Europe,Finance,11-50,SMB,Outbound,Pro,200
C0113,2023-07-03,Europe,Education,1-10,SMB,Referral,Basic,50
C0114,2023-07-18,Europe,Healthcare,201-1000,SMB,Organic,Basic,50
C0115,2024-10-15,APAC,Retail,11-50,Enterprise,Organic,Enterprise,1000
C0116,2024-07-11,APAC,Manufacturing,11-50,Enterprise,Events,Enterprise,1000
C0117,2024-12-25,LATAM,SaaS,1-10,SMB,Events,Pro,200
C0118,2023-09-07,LATAM,Manufacturing,1-10,Mid-Market,Paid,Basic,50
C0119,2025-04-14,APAC,Manufacturing,51-200,Mid-Market,Organic,Pro,200
C0120,2024-11-28,MEA,Finance,11-50,SMB,Organic,Pro,200
C0121,2025-02-02,APAC,Healthcare,51-200,Mid-Market,Organic,Pro,200
C0122,2024-09-04,APAC,SaaS,51-200,SMB,Referral,Basic,50
C0123,2025-03-04,Europe,Manufacturing,51-200,Mid-Market,Paid,Pro,200
C0124,2023-06-05,North America,SaaS,1-10,SMB,Outbound,Basic,50
C0125,2024-01-04,APAC,Retail,11-50,SMB,Referral,Basic,50
C0126,2024-10-15,Europe,Finance,201-1000,SMB,Organic,Pro,200
C0127,2024-07-02,Europe,Retail,51-200,SMB,Referral,Pro,200
C0128,2024-06-27,LATAM,SaaS,51-200,Enterprise,Paid,Enterprise,1000
C0129,2023-12-24,North America,SaaS,11-50,Enterprise,Referral,Enterprise,1000
C0130,2023-06-15,Europe,Healthcare,11-50,Mid-Market,Referral,Basic,50
C0131,2024-12-05,APAC,Manufacturing,51-200,SMB,Events,Basic,50
C0132,2024-09-03,APAC,Manufacturing,201-1000,SMB,Events,Basic,50
C0133,2025-04-21,Europe,Retail,51-200,Enterprise,Organic,Enterprise,1000
C0134,2024-12-26,LATAM,Finance,201-1000,Enterprise,Organic,Enterprise,1000
C0135,2024-01-27,APAC,Education,51-200,SMB,Referral,Basic,50
C0136,2024-12-15,North America,Manufacturing,1-10,SMB,Organic,Pro,200
C0137,2023-09-04,North America,Healthcare,11-50,SMB,Organic,Pro,200
C0138,2024-09-27,APAC,Retail,1-10,Mid-Market,Organic,Pro,200
C0139,2024-07-11,North America,Retail,11-50,Mid-Market,Referral,Pro,200
C0140,2024-01-17,North America,Education,201-1000,SMB,Organic,Pro,200
C0141,2025-03-16,Europe,Healthcare,11-50,SMB,Referral,Basic,50
C0142,2023-11-18,North America,Finance,11-50,SMB,Outbound,Basic,50
C0143,2024-11-22,Europe,Healthcare,1-10,SMB,Organic,Basic,50
C0144,2023-07-06,Europe,Finance,11-50,Enterprise,Organic,Enterprise,1000
C0145,2024-11-06,Europe,Healthcare,11-50,SMB,Organic,Pro,200
C0146,2023-11-07,Europe,Healthcare,11-50,SMB,Events,Basic,50
C0147,2025-04-29,APAC,SaaS,51-200,SMB,Organic,Pro,200
C0148,2024-01-29,North America,Retail,11-50,Mid-Market,Paid,Pro,200
C0149,2023-08-25,APAC,Healthcare,51-200,SMB,Organic,Basic,50
C0150,2024-12-29,Europe,Education,1-10,SMB,Referral,Pro,200
C0151,2025-04-12,LATAM,Healthcare,1-10,Enterprise,Paid,Enterprise,1000
C0152,2024-12-08,Europe,Manufacturing,11-50,Mid-Market,Referral,Pro,200
C0153,2024-12-25,MEA,Retail,51-200,SMB,Outbound,Pro,200
C0154,2025-03-07,APAC,Manufacturing,51-200,SMB,Organic,Basic,50
C0155,2023-06-28,North America,Retail,11-50,SMB,Events,Basic,50
C0156,2025-02-09,LATAM,Manufacturing,11-50,SMB,Organic,Basic,50
C0157,2024-12-07,North America,Healthcare,51-200,SMB,Events,Basic,50
C0158,2024-05-05,North America,Healthcare,1-10,Mid-Market,Referral,Pro,200
C0159,2024-04-26,North America,SaaS,11-50,SMB,Events,Basic,50
C0160,2025-03-01,Europe,Education,201-1000,SMB,Organic,Basic,50
C0161,2024-10-18,Europe,Manufacturing,51-200,SMB,Organic,Basic,50
C0162,2024-05-13,Europe,Finance,11-50,Mid-Market,Paid,Pro,200
C0163,2024-09-15,LATAM,SaaS,201-1000,SMB,Paid,Basic,50
C0164,2024-01-17,North America,Manufacturing,51-200,Enterprise,Organic,Pro,200
C0165,2023-12-07,North America,Manufacturing,11-50,Enterprise,Paid,Pro,200
C0166,2024-01-11,North America,SaaS,51-200,SMB,Organic,Basic,50
C0167,2024-06-19,North America,Healthcare,51-200,SMB,Paid,Pro,200
C0168,2024-06-11,Europe,Manufacturing,11-50,Mid-Market,Events,Pro,200
C0169,2024-03-09,APAC,Healthcare,11-50,SMB,Paid,Basic,50
C0170,2025-02-22,Europe,SaaS,11-50,SMB,Organic,Pro,200
C0171,2025-02-17,North America,Healthcare,51-200,Enterprise,Paid,Enterprise,1000
C0172,2024-02-14,Europe,Retail,11-50,Mid-Market,Organic,Pro,200
C0173,2024-05-24,North America,Finance,201-1000,SMB,Outbound,Pro,200
C0174,2024-08-29,LATAM,Manufacturing,51-200,Mid-Market,Organic,Pro,200
C0175,2024-07-15,North America,Education,1-10,Mid-Market,Referral,Pro,200
C0176,2025-03-10,Europe,Finance,51-200,SMB,Outbound,Pro,200
C0177,2024-04-13,MEA,Healthcare,11-50,SMB,Events,Basic,50
C0178,2025-04-07,Europe,Manufacturing,51-200,SMB,Referral,Basic,50
C0179,2024-01-11,MEA,Healthcare,51-200,SMB,Events,Basic,50
C0180,2024-01-20,North America,Retail,11-50,SMB,Outbound,Pro,200
C0181,2025-04-14,APAC,SaaS,11-50,Mid-Market,Referral,Pro,200
C0182,2025-03-25,Europe,Manufacturing,1-10,Mid-Market,Paid,Pro,200
C0183,2024-06-08,APAC,Retail,1-10,Enterprise,Referral,Enterprise,1000
C0184,2025-04-02,North America,Retail,11-50,SMB,Paid,Basic,50
C0185,2025-01-28,North America,Manufacturing,11-50,SMB,Referral,Pro,200
C0186,2024-09-14,North America,Healthcare,1000+,SMB,Paid,Pro,200
C0187,2024-01-19,APAC,Education,11-50,Enterprise,Organic,Enterprise,1000
C0188,2025-04-22,LATAM,Retail,11-50,SMB,Organic,Basic,50
C0189,2023-09-21,APAC,Finance,51-200,SMB,Organic,Pro,200
C0190,2024-10-09,North America,Retail,1-10,SMB,Organic,Basic,50
C0191,2024-08-15,LATAM,Education,1000+,SMB,Organic,Pro,200
C0192,2024-12-15,Europe,Healthcare,51-200,SMB,Paid,Basic,50
C0193,2024-02-23,Europe,Healthcare,51-200,SMB,Organic,Basic,50
C0194,2024-10-22,North America,Finance,1-10,Enterprise,Events,Enterprise,1000
C0195,2024-06-20,APAC,Retail,11-50,SMB,Organic,Basic,50
C0196,2024-06-21,North America,Healthcare,11-50,Enterprise,Organic,Pro,200
C0197,2023-09-21,Europe,Education,201-1000,Mid-Market,Referral,Pro,200
C0198,2025-02-02,LATAM,Manufacturing,1-10,SMB,Referral,Pro,200
C0199,2025-02-14,North America,SaaS,11-50,Enterprise,Organic,Pro,200
C0200,2023-08-20,Europe,SaaS,1000+,Mid-Market,Events,Pro,200
C0201,2025-04-29,North America,SaaS,11-50,Enterprise,Events,Pro,200
C0202,2023-09-21,North America,Retail,11-50,Enterprise,Organic,Enterprise,1000
C0203,2023-06-02,Europe,Finance,1-10,Mid-Market,Organic,Pro,200
C0204,2025-03-03,Europe,Healthcare,1000+,SMB,Outbound,Basic,50
C0205,2024-01-06,APAC,Manufacturing,1-10,SMB,Referral,Basic,50
C0206,2024-12-17,Europe,Education,51-200,SMB,Paid,Basic,50
C0207,2024-01-11,Europe,Manufacturing,51-200,SMB,Events,Basic,50
C0208,2024-06-19,APAC,Education,11-50,SMB,Organic,Basic,50
C0209,2024-07-07,Europe,Retail,51-200,SMB,Paid,Basic,50
C0210,2025-02-27,Europe,SaaS,1-10,Enterprise,Organic,Pro,200
C0211,2023-10-08,Europe,Retail,11-50,SMB,Events,Basic,50
C0212,2023-07-23,Europe,Finance,51-200,Mid-Market,Referral,Basic,50
C0213,2025-04-14,North America,Finance,201-1000,SMB,Referral,Basic,50
C0214,2025-04-02,LATAM,Education,51-200,SMB,Organic,Pro,200
C0215,2024-07-20,APAC,Healthcare,11-50,Enterprise,Organic,Enterprise,1000
C0216,2024-02-02,North America,Healthcare,1-10,Enterprise,Paid,Enterprise,1000
C0217,2024-08-12,Europe,Education,1-10,Mid-Market,Referral,Pro,200
C0218,2023-12-20,North America,Finance,1-10,Mid-Market,Paid,Pro,200
C0219,2023-12-01,MEA,Finance,11-50,SMB,Organic,Pro,200
C0220,2023-10-01,North America,Finance,11-50,SMB,Events,Pro,200
C0221,2024-07-05,North America,Retail,11-50,Enterprise,Organic,Enterprise,1000
C0222,2024-03-20,Europe,Finance,11-50,Mid-Market,Outbound,Basic,50
C0223,2024-03-06,Europe,Manufacturing,11-50,SMB,Organic,Pro,200
C0224,2025-01-30,LATAM,SaaS,11-50,Mid-Market,Referral,Pro,200
C0225,2023-12-15,North America,Finance,201-1000,SMB,Organic,Basic,50
C0226,2024-10-23,LATAM,Education,11-50,Mid-Market,Outbound,Pro,200
C0227,2023-10-22,North America,SaaS,201-1000,SMB,Paid,Basic,50
C0228,2025-01-29,LATAM,Retail,201-1000,Enterprise,Organic,Enterprise,1000
C0229,2023-12-18,North America,Education,1-10,SMB,Organic,Basic,50
C0230,2023-10-02,North America,SaaS,51-200,Enterprise,Organic,Enterprise,1000
C0231,2023-12-04,APAC,Education,51-200,SMB,Organic,Pro,200
C0232,2024-04-21,MEA,Retail,51-200,SMB,Outbound,Basic,50
C0233,2024-09-06,LATAM,Manufacturing,11-50,Mid-Market,Paid,Pro,200
C0234,2024-05-14,Europe,Retail,11-50,Mid-Market,Events,Basic,50
C0235,2025-03-21,LATAM,Retail,11-50,SMB,Referral,Pro,200
C0236,2024-07-07,North America,Education,11-50,SMB,Referral,Basic,50
C0237,2024-05-11,MEA,Healthcare,51-200,Enterprise,Organic,Enterprise,1000
C0238,2024-10-23,Europe,Finance,51-200,SMB,Organic,Pro,200
C0239,2023-10-25,APAC,Finance,11-50,Mid-Market,Events,Pro,200
C0240,2023-10-26,LATAM,Manufacturing,51-200,Mid-Market,Outbound,Pro,200
C0241,2024-10-01,APAC,Manufacturing,1-10,SMB,Organic,Pro,200
C0242,2025-03-01,Europe,Finance,11-50,Mid-Market,Organic,Pro,200
C0243,2024-12-02,Europe,Healthcare,201-1000,SMB,Paid,Pro,200
C0244,2024-05-03,LATAM,Finance,11-50,Enterprise,Outbound,Enterprise,1000
C0245,2025-03-02,North America,Healthcare,1-10,SMB,Organic,Basic,50
C0246,2024-09-15,MEA,Manufacturing,1-10,Mid-Market,Paid,Basic,50
C0247,2023-10-29,APAC,SaaS,11-50,SMB,Events,Basic,50
C0248,2024-07-19,North America,Education,1000+,SMB,Organic,Basic,50
C0249,2024-03-24,APAC,Manufacturing,51-200,Mid-Market,Organic,Basic,50
C0250,2025-01-31,Europe,Manufacturing,201-1000,SMB,Referral,Basic,50
C0251,2024-02-18,APAC,Retail,51-200,SMB,Outbound,Basic,50
C0252,2023-10-22,APAC,Retail,11-50,Mid-Market,Organic,Basic,50
C0253,2024-05-11,North America,Retail,11-50,SMB,Paid,Pro,200
C0254,2025-02-13,Europe,Education,51-200,SMB,Paid,Basic,50
C0255,2024-12-23,MEA,Retail,1-10,Enterprise,Paid,Pro,200
C0256,2023-06-02,North America,Healthcare,201-1000,Enterprise,Referral,Enterprise,1000
C0257,2024-03-30,Europe,Finance,201-1000,SMB,Paid,Basic,50
C0258,2024-02-09,Europe,SaaS,11-50,SMB,Paid,Pro,200
C0259,2025-03-13,Europe,Manufacturing,1000+,SMB,Paid,Pro,200
C0260,2024-08-26,Europe,Healthcare,201-1000,Enterprise,Referral,Enterprise,1000
C0261,2023-07-07,Europe,SaaS,51-200,Enterprise,Paid,Enterprise,1000
C0262,2023-11-07,North America,Healthcare,1-10,Enterprise,Events,Enterprise,1000
C0263,2023-06-09,APAC,Healthcare,11-50,SMB,Organic,Basic,50
C0264,2024-01-19,North America,Manufacturing,11-50,SMB,Events,Basic,50
C0265,2023-09-07,North America,Finance,11-50,Mid-Market,Events,Basic,50
C0266,2025-03-20,North America,Retail,1-10,Mid-Market,Organic,Pro,200
C0267,2023-12-25,North America,Education,51-200,Mid-Market,Paid,Pro,200
C0268,2023-10-09,Europe,Finance,1-10,Enterprise,Paid,Enterprise,1000
C0269,2024-07-08,APAC,Education,51-200,Mid-Market,Organic,Pro,200
C0270,2023-10-30,APAC,Manufacturing,201-1000,SMB,Paid,Basic,50
C0271,2023-07-24,North America,Manufacturing,201-1000,Mid-Market,Organic,Basic,50
C0272,2023-09-28,LATAM,Manufacturing,11-50,SMB,Organic,Basic,50
C0273,2025-04-03,APAC,SaaS,201-1000,Mid-Market,Events,Pro,200
C0274,2025-02-17,Europe,Education,1-10,Enterprise,Organic,Pro,200
C0275,2025-01-07,MEA,Finance,1-10,SMB,Events,Basic,50
C0276,2025-02-14,MEA,Finance,51-200,SMB,Paid,Basic,50
C0277,2024-07-24,North America,Healthcare,11-50,SMB,Events,Basic,50
C0278,2024-07-26,Europe,Healthcare,11-50,Mid-Market,Referral,Pro,200
C0279,2023-09-12,MEA,Healthcare,51-200,SMB,Organic,Basic,50
C0280,2024-02-09,APAC,Manufacturing,1-10,Mid-Market,Referral,Basic,50
C0281,2024-01-13,North America,Finance,11-50,Mid-Market,Organic,Basic,50
C0282,2023-09-20,APAC,Education,11-50,SMB,Paid,Pro,200
C0283,2024-10-22,LATAM,Manufacturing,51-200,Mid-Market,Outbound,Pro,200
C0284,2024-09-15,APAC,SaaS,51-200,SMB,Organic,Basic,50
C0285,2023-09-07,APAC,Healthcare,11-50,SMB,Paid,Pro,200
C0286,2023-10-31,LATAM,Manufacturing,11-50,Enterprise,Referral,Enterprise,1000
C0287,2024-05-03,North America,Manufacturing,1-10,Mid-Market,Events,Pro,200
C0288,2023-11-10,North America,SaaS,1-10,SMB,Referral,Pro,200
C0289,2025-04-11,APAC,Retail,51-200,SMB,Organic,Basic,50
C0290,2023-11-08,LATAM,Finance,11-50,SMB,Referral,Basic,50
C0291,2024-12-31,North America,Education,1-10,SMB,Organic,Basic,50
C0292,2024-07-02,Europe,Retail,51-200,Mid-Market,Referral,Basic,50
C0293,2024-03-03,APAC,Healthcare,51-200,Mid-Market,Outbound,Pro,200
C0294,2024-10-16,Europe,Manufacturing,51-200,SMB,Referral,Basic,50
C0295,2024-06-26,APAC,SaaS,11-50,Mid-Market,Events,Basic,50
C0296,2023-10-13,LATAM,SaaS,11-50,Mid-Market,Organic,Pro,200
C0297,2023-12-12,APAC,Finance,11-50,SMB,Referral,Basic,50
